fecha;provincia;porcentaje_residentes_2a_dosis
21/12/2021;Zamora;85,14022088
21/12/2021;TotalCyL;83,89335251
21/12/2021;Ávila;84,81898214
21/12/2021;Burgos;82,3864113
21/12/2021;Palencia;83,69770648
21/12/2021;Segovia;80,66889066
21/12/2021;Soria;84,4381441
21/12/2021;Valladolid;84,09100949
21/12/2021;León;82,9591687
21/12/2021;Salamanca;86,87481966
20/12/2021;Ávila;84,75809316
20/12/2021;León;82,9019869
20/12/2021;Segovia;80,60047694
20/12/2021;Zamora;85,11911741
20/12/2021;Palencia;83,64344035
20/12/2021;Soria;84,34251384
20/12/2021;Valladolid;84,04068768
20/12/2021;Burgos;82,31846778
20/12/2021;Salamanca;86,83442421
20/12/2021;TotalCyL;83,83873686
19/12/2021;Burgos;82,25779393
19/12/2021;León;82,87197194
19/12/2021;Palencia;83,60289669
19/12/2021;Segovia;80,54509441
19/12/2021;Valladolid;84,02628258
19/12/2021;Salamanca;86,8101262
19/12/2021;Soria;84,23675802
19/12/2021;Zamora;85,11735878
19/12/2021;Ávila;84,73906535
19/12/2021;TotalCyL;83,80591736
18/12/2021;León;
18/12/2021;Palencia;
18/12/2021;Salamanca;
18/12/2021;Soria;
18/12/2021;Zamora;
18/12/2021;Ávila;
18/12/2021;Segovia;
18/12/2021;Valladolid;
18/12/2021;Burgos;
18/12/2021;TotalCyL;
17/12/2021;Burgos;
17/12/2021;Palencia;
17/12/2021;Valladolid;
17/12/2021;Ávila;
17/12/2021;León;
17/12/2021;Salamanca;
17/12/2021;Segovia;
17/12/2021;Soria;
17/12/2021;Zamora;
17/12/2021;TotalCyL;
16/12/2021;Ávila;84,53356505
16/12/2021;León;82,80339761
16/12/2021;Salamanca;86,75150724
16/12/2021;Soria;84,04774763
16/12/2021;Valladolid;83,9607874
16/12/2021;Burgos;82,1414791
16/12/2021;Palencia;83,52929435
16/12/2021;Segovia;80,48580253
16/12/2021;Zamora;85,07222079
16/12/2021;TotalCyL;83,72069524
15/12/2021;Valladolid;83,85611035
15/12/2021;Ávila;84,28049523
15/12/2021;Salamanca;86,67132379
15/12/2021;Segovia;80,35809693
15/12/2021;Burgos;82,03075633
15/12/2021;León;82,66142902
15/12/2021;Palencia;83,43323707
15/12/2021;Soria;83,81035957
15/12/2021;Zamora;85,00656553
15/12/2021;TotalCyL;83,59856162
14/12/2021;Ávila;84,24878222
14/12/2021;Palencia;83,39705965
14/12/2021;Salamanca;86,60146699
14/12/2021;Segovia;80,29294101
14/12/2021;Zamora;84,9895655
14/12/2021;TotalCyL;83,55559564
14/12/2021;Burgos;81,99748357
14/12/2021;Soria;83,70347869
14/12/2021;León;82,62659413
14/12/2021;Valladolid;83,81980951
13/12/2021;Burgos;81,89291206
13/12/2021;León;82,51683138
13/12/2021;Segovia;80,16393229
13/12/2021;TotalCyL;83,45229356
13/12/2021;Ávila;84,07689771
13/12/2021;Salamanca;86,51794257
13/12/2021;Soria;83,60222312
13/12/2021;Valladolid;83,74816815
13/12/2021;Palencia;83,28790364
13/12/2021;Zamora;84,86235843
12/12/2021;Burgos;81,84370194
12/12/2021;Soria;83,5380946
12/12/2021;Palencia;83,2386275
12/12/2021;Salamanca;86,47542104
12/12/2021;Zamora;84,83246184
12/12/2021;Ávila;84,03503653
12/12/2021;León;82,48353011
12/12/2021;Segovia;80,08118427
12/12/2021;Valladolid;83,68977949
12/12/2021;TotalCyL;83,40419171
11/12/2021;Ávila;
11/12/2021;Burgos;
11/12/2021;Palencia;
11/12/2021;Segovia;
11/12/2021;Salamanca;
11/12/2021;Soria;
11/12/2021;TotalCyL;
11/12/2021;León;
11/12/2021;Valladolid;
11/12/2021;Zamora;
10/12/2021;León;
10/12/2021;Salamanca;
10/12/2021;TotalCyL;
10/12/2021;Ávila;
10/12/2021;Burgos;
10/12/2021;Palencia;
10/12/2021;Soria;
10/12/2021;Zamora;
10/12/2021;Segovia;
10/12/2021;Valladolid;
09/12/2021;Palencia;83,18061888
09/12/2021;Segovia;79,9801926
09/12/2021;Zamora;84,78615143
09/12/2021;TotalCyL;83,33588039
09/12/2021;Salamanca;86,39159289
