Fecha;Provincia;porcentaje_total
16/12/2021;Zamora;7,507611556
15/12/2021;León;7,559519248
15/12/2021;Valladolid;8,461847619
15/12/2021;Soria;6,66858266
15/12/2021;Ávila;7,235412031
15/12/2021;Burgos;8,572717947
15/12/2021;Palencia;8,02490663
15/12/2021;Salamanca;8,920563708
15/12/2021;Segovia;7,891410966
15/12/2021;Zamora;7,492130193
15/12/2021;Castilla y León;8,059943373
14/12/2021;Palencia;8,007522844
14/12/2021;Salamanca;8,910415731
14/12/2021;Segovia;7,870158771
14/12/2021;Valladolid;8,418702694
14/12/2021;Burgos;8,550626557
14/12/2021;Ávila;7,207469768
14/12/2021;León;7,536043135
14/12/2021;Soria;6,652899481
14/12/2021;Zamora;7,486313666
14/12/2021;Castilla y León;8,035921159
13/12/2021;León;7,514540712
13/12/2021;Segovia;7,863229493
13/12/2021;Valladolid;8,386159783
13/12/2021;Salamanca;8,892012366
13/12/2021;Ávila;7,188138
13/12/2021;Burgos;8,542515129
13/12/2021;Palencia;7,991794073
13/12/2021;Soria;6,64749867
13/12/2021;Zamora;7,457046593
13/12/2021;Castilla y León;8,016569212
12/12/2021;Burgos;8,531586694
12/12/2021;Segovia;7,855991437
12/12/2021;Ávila;7,179677222
12/12/2021;León;7,504855182
12/12/2021;Palencia;7,970311745
12/12/2021;Salamanca;8,886980498
12/12/2021;Valladolid;8,365651953
12/12/2021;Zamora;7,442134771
12/12/2021;Soria;6,649513473
12/12/2021;Castilla y León;8,004550139
11/12/2021;Ávila;7,164000609
11/12/2021;Burgos;8,519044487
11/12/2021;Palencia;7,962102414
11/12/2021;Valladolid;8,353408837
11/12/2021;Castilla y León;7,99528806
11/12/2021;Segovia;7,851326154
11/12/2021;Zamora;7,44452291
11/12/2021;León;7,491219998
11/12/2021;Salamanca;8,88402562
11/12/2021;Soria;6,648962329
10/12/2021;Salamanca;8,885328193
10/12/2021;Soria;6,638801484
10/12/2021;Burgos;8,50676741
10/12/2021;Palencia;7,954384538
10/12/2021;Segovia;7,848999594
10/12/2021;Castilla y León;7,98195251
10/12/2021;Ávila;7,154576808
10/12/2021;León;7,476052438
10/12/2021;Valladolid;8,32649617
10/12/2021;Zamora;7,426202371
09/12/2021;Burgos;8,494006357
09/12/2021;Palencia;7,942530297
09/12/2021;Segovia;7,850239626
09/12/2021;Valladolid;8,298881262
09/12/2021;Ávila;7,145069503
09/12/2021;Zamora;7,407616064
09/12/2021;Castilla y León;7,968678688
09/12/2021;León;7,46657152
09/12/2021;Salamanca;8,879644421
09/12/2021;Soria;6,634578287
08/12/2021;Soria;6,631868805
08/12/2021;Valladolid;8,281328022
08/12/2021;Castilla y León;7,958799349
08/12/2021;Palencia;7,92480671
08/12/2021;Segovia;7,849078003
08/12/2021;Ávila;7,120930563
08/12/2021;Burgos;8,489358249
08/12/2021;León;7,455790857
08/12/2021;Salamanca;8,879617594
08/12/2021;Zamora;7,401828616
07/12/2021;Ávila;7,117888387
07/12/2021;Burgos;8,487662913
